Year,Month,Day,TSU,EQ,Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time,VEI,Agent,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION
-4360,,,,,Macauley Island,Kermadec Is,New Zealand,-30.2,-178.47,238,Caldera,Holocene,U,6.0,,,,,,,,,,,,,,,,,,,,,
-4350,,,,,Kikai,Ryukyu Is,Japan,30.78,130.28,717,Caldera,Historical,D1,7.0,P,,3.0,,,,,,3.0,,3.0,,3.0,,,,,,3.0,,3.0
-4050,,,,,Masaya,Nicaragua,Nicaragua,11.984000000000002,-86.161,635,Caldera,Historical,D1,6.0,,,,,,,,,,,,,,,,,,,,,
-4000,,,,,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,Historical,D2,6.0,T,,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,,
-3580,,,,,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,Historical,D1,6.0,,,,,,,,,,,,,,,,,,,,,
-3550,,,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1,6.0,,,,,,,,,,,,,,,,,,,,,
-2420,,,,,Vesuvius,Italy,Italy,40.821,14.425999999999998,1281,Complex volcano,Historical,D2,5.0,"P,T",,,,,,,,,,,,,,,,,,,,
-2040,,,,,Long Island,New Guinea-NE of,Papua New Guinea,-5.358,147.12,1280,Complex volcano,Historical,D1,6.0,,,,,,,,,,,,,,,,,,,,,
-1900,,,,,Black Peak,Alaska Peninsula,United States,56.53,-158.8,1032,Stratovolcano,Radiocarbon,D7,6.0,,,,,,,,,,,,,,,,,,,,,
-1890,,,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,Historical,D1,6.0,,,,,,,,,,,,,,,,,,,,,
